display  D   display_settings.c:400  _al_score_display_settings       [   0.10533] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10550] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10566] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10583] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10605] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10623] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10640] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10661] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10682] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10724] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10739] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10755] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10778] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10797] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10816] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10834] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10851] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10870] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10888] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10907] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10922] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10942] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10961] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10980] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10997] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11013] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11030] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11047] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11062] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11077] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11092] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11108] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11125] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11142] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11158] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11176] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11196] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11213] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11251] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11267] Single Buffer requirement not met.
